gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000237973.1|MTCO1P12,142338,94600,105111,114634,178511,304527,272290,452868
ENSG00000278791.1|ENSG00000278791,14,10,1,1,1,366,261,413
ENSG00000229344.1|MTCO2P12,193,129,208,241,429,185,165,320
ENSG00000240409.1|MTATP8P1,87,31,49,47,68,252,174,352
ENSG00000248527.1|MTATP6P1,68010,32792,39599,41751,76463,99480,86347,167764
ENSG00000198744.5|MTCO3P12,443,219,409,366,657,475,347,824
ENSG00000284662.2|OR4F16,2,0,3,0,2,2,1,0
ENSG00000229376.3|CICP3,1,0,3,2,0,0,2,0
ENSG00000230092.7|ENSG00000230092,29,15,62,31,18,28,9,10
ENSG00000225880.5|LINC00115,77,65,88,99,91,63,116,113
ENSG00000272438.1|ENSG00000272438,356,423,403,413,139,188,285,53
ENSG00000230699.2|ENSG00000230699,2380,3025,4144,3538,868,2185,2314,327
ENSG00000241180.1|ENSG00000241180,5,4,6,3,3,4,2,1
ENSG00000188976.11|NOC2L,23729,21597,18572,22218,26143,24343,23022,26181
ENSG00000187961.15|KLHL17,1839,1638,2534,1924,1448,1907,1898,837
ENSG00000272512.1|ENSG00000272512,246,263,355,231,546,231,130,600
ENSG00000188290.11|HES4,6240,3831,5287,5471,7468,5390,3881,7818
ENSG00000187608.10|ISG15,186,246,259,308,229,181,215,155
ENSG00000188157.15|AGRN,70559,71470,74859,79800,87803,87061,82713,98901
ENSG00000242590.1|ENSG00000242590,2,1,1,1,2,1,1,2
ENSG00000176022.7|B3GALT6,13069,11089,8356,8576,14405,8774,7763,11228
ENSG00000184163.3|C1QTNF12,33,62,90,154,78,73,142,48
ENSG00000260179.1|ENSG00000260179,17,18,39,18,15,30,32,18
ENSG00000230415.1|LINC01786,23,15,95,20,16,4,20,30
ENSG00000169972.12|PUSL1,1543,1945,1911,2772,2214,1763,2069,2268
ENSG00000283712.1|MIR6727,1,1,1,1,1,1,1,1
ENSG00000240731.1|ENSG00000240731,12,22,128,31,0,10,23,4
ENSG00000224051.7|CPTP,7311,7286,4574,7554,6412,6773,7677,8824
ENSG00000169962.5|TAS1R3,364,438,321,222,128,335,345,227
ENSG00000107404.21|DVL1,11064,11232,14689,14433,10173,12606,11005,10086
ENSG00000284372.1|MIR6808,1,1,1,1,1,1,1,1
ENSG00000175756.14|AURKAIP1,7478,5870,6299,7154,11702,6837,5851,9764
ENSG00000242485.6|MRPL20,3926,3302,3450,3391,7321,3647,3035,5634
ENSG00000264293.2|RN7SL657P,1,1,1,1,1,1,1,0
ENSG00000272455.1|MRPL20-DT,343,385,430,363,323,444,568,342
ENSG00000205116.4|TMEM88B,101,26,89,16,414,213,59,604
ENSG00000225285.1|LINC01770,55,31,41,31,33,93,26,110
ENSG00000160075.12|SSU72,18997,15889,14323,16371,27971,17118,16852,24564
ENSG00000215014.5|ENSG00000215014,68,102,154,139,228,78,91,160
ENSG00000228594.4|FNDC10,3348,3380,2737,3307,7877,3068,3255,8083
ENSG00000286989.1|ENSG00000286989,91,117,176,177,193,100,100,208
ENSG00000272106.1|ENSG00000272106,3562,3093,3580,3948,7247,4164,3373,6747
ENSG00000272004.1|ENSG00000272004,24,30,26,17,35,14,20,19
ENSG00000189339.12|SLC35E2B,46138,49887,57457,51534,42585,45593,48804,35939
ENSG00000215914.4|MMP23A,67,50,44,23,62,53,32,101
ENSG00000008128.23|CDK11A,3093,4391,2860,3357,3779,3557,4281,3667
ENSG00000268575.1|ENSG00000268575,1440,2098,1747,783,317,701,981,326
ENSG00000227775.3|ENSG00000227775,42,67,152,43,49,66,80,65
ENSG00000215790.8|SLC35E2A,3640,4088,4885,4477,2388,3910,3954,2438
ENSG00000078369.18|GNB1,191368,214293,197318,222240,133704,219712,238373,126498
ENSG00000116254.18|CHD5,4021,7159,6926,5413,3084,2913,4192,1962
ENSG00000158286.13|RNF207,98,148,211,90,99,89,47,57
ENSG00000225077.3|LINC00337,0,0,7,0,22,13,6,23
ENSG00000173673.8|HES3,0,0,0,0,0,3,0,0
ENSG00000285629.1|ENSG00000285629,19,20,10,15,26,23,1,42
ENSG00000116251.11|RPL22,95869,76532,95504,101566,106513,100428,97427,97474
ENSG00000226944.1|RNF207-AS1,10,18,9,7,19,2,4,10
ENSG00000116237.16|ICMT,10172,8177,10288,8946,22866,9699,8839,17082
