gene,variance_2d_tpm,present_in_v3_candidate_features,selected_top_250
RPL13,10633.025121547298,True,True
P4HB,10622.678683416967,False,False
HSP90B1,10616.55066149887,False,False
COX4I1,10584.484840105391,False,False
RCN1,10560.690577370717,False,False
DEK,10440.03203058158,True,True
PGD,10436.202830251723,False,False
NEFL,10390.605130376884,False,False
CHPF,10342.906955577195,False,False
MT3,10339.647911359092,True,True
HNRNPA0,10294.079728960942,False,False
CADM3,10251.121915464786,False,False
HOXB2,10204.63483655414,False,False
NDFIP1,10193.80898353511,False,False
AP2M1,10181.700795653343,False,False
WNT7B,10174.500532881824,True,True
GAD1,10157.784010111007,False,False
HNRNPR,10157.145071724512,False,False
DLL1,10145.3796316507,False,False
TTC3,10087.146972282462,False,False
HES5,10068.267264580483,False,False
HHLA3,10057.482871519225,False,False
COL6A3,10038.158902768713,False,False
TXNRD1,10015.070757619516,True,True
CKS2,9908.031844940988,False,False
OCIAD2,9907.289170870034,True,True
PCDH8,9889.3150813185,True,True
HNRNPU,9876.241952752922,False,False
PPDPF,9826.833344420465,True,True
FASN,9826.69995831608,True,True
KIDINS220,9823.168467806552,False,False
IGFBP3,9779.20377547578,True,True
TSPAN7,9714.902779982103,True,True
ITM2C,9644.651588733315,False,False
STMN3,9621.566024210735,False,False
GNG3,9578.873666648537,True,True
COX8A,9483.031698932637,False,False
SEPT2,9456.594766497643,False,False
LGALS3,9455.695672503538,False,False
SLC22A17,9421.858314480472,False,False
SHFM1,9351.45455157151,False,False
TUBB4B,9341.829802873403,False,False
SRSF3,9335.026159279923,True,True
GNAI2,9325.93324270391,False,False
DDX17,9293.84231479571,False,False
TIMP1,9285.98703097168,False,False
DYNLL2,9263.245480804411,False,False
EIF3F,9258.994703473465,False,False
HK1,9232.3393108374,True,True
MAGED2,9205.49919799979,False,False
PTBP1,9187.839156482554,True,True
MSI1,9171.905369407306,False,False
SP100,9090.095682413352,False,False
ITM2B,9074.190561297095,False,False
ACADSB,9058.260442612673,False,False
FOXP2,9017.509319490942,True,True
LMNA,8929.275516688891,False,False
TERF2IP,8920.232414937831,True,True
XRCC2,8881.861233140335,False,False
HOXB3,8853.12459937362,False,False
KIF3C,8837.645876350143,True,True
NDUFS5,8777.312912437565,False,False
ACAT2,8772.38798817244,False,False
UBL5,8730.119768490835,False,False
DYNLL1,8717.476847025417,False,False
ODC1,8709.421947410254,False,False
APOE,8623.990183729282,True,True
MAZ,8622.594919097917,False,False
TAC1,8621.658601604846,False,False
TGFBI,8615.300828992526,True,True
LUM,8595.920953492765,True,True
STXBP1,8587.830816167783,True,True
HMGN1,8527.15395690365,False,False
CANX,8493.975996334117,True,True
HSPA5,8474.70824051479,False,False
SPARCL1,8447.452782655484,True,True
IFITM2,8438.045574744123,False,False
GAS1,8415.159874417775,False,False
ATP9A,8398.238083520488,False,False
GLTSCR2,8362.545761060228,False,False
ATP1B1,8344.822043293445,True,True
EVL,8317.58340833772,False,False
LAPTM4B,8279.343789156754,False,False
ATP5B,8233.040477292347,False,False
RHOC,8170.5745056719425,False,False
PPP2R2B,8145.9809313243495,False,False
C19orf43,8137.192410048427,True,True
CITED2,8081.155379034635,False,False
CADM4,8064.98254627797,True,True
DCLK1,8023.7038598057115,False,False
RPS23,7937.68941722813,False,False
SLC25A3,7937.099411011684,False,False
RAB11B,7911.509062556877,False,False
SYP,7905.917039019897,False,False
CXCR4,7890.278064762373,False,False
ARL6IP1,7859.271203694541,False,False
MRFAP1,7852.317032277081,False,False
SRSF9,7832.28816495362,True,True
TMBIM6,7830.295642968851,False,False
ATF3,7823.7768716823975,True,True
VEGFA,7817.683574359874,True,True
ALDOC,7811.506134957481,True,True
FKBP8,7808.536649097567,True,True
FNDC5,7795.296057877437,True,True
ERH,7791.21669673065,False,False
ELAVL3,7779.457893151911,False,False
GRINA,7776.794063960533,False,False
SRRM2,7770.211468655763,False,False
HTRA4,7759.019618652256,False,False
APC2,7735.901646094325,True,True
ATP6V0B,7723.512684631131,False,False
NXNL2,7722.208686561744,False,False
ATP1B2,7715.028403455919,True,True
GSTA4,7694.936742209121,False,False
ATP1A2,7689.936004510417,True,True
CTSD,7683.994034294254,False,False
CBX1,7665.026647846557,False,False
OST4,7655.768294307588,False,False
PTTG1,7650.349219894491,False,False
GPI,7649.736868410123,False,False
ADCY1,7580.879824997368,False,False
REEP2,7558.989651301307,False,False
INSM1,7547.551412755143,False,False
DDX39B,7501.144081583441,False,False
H3F3B,7446.751839162017,False,False
PSAT1,7347.623551599583,True,True
MGST1,7334.825133464342,False,False
ALYREF,7326.861327845036,False,False
VAT1,7308.438577565475,False,False
A2M,7252.35439027266,True,True
C6orf48,7245.264640401913,True,True
COX7A2,7231.719577467219,False,False
USMG5,7217.824160812834,False,False
RAB7A,7200.587363718402,False,False
REEP1,7170.246640788504,False,False
SEC61G,7157.800334929408,False,False
SYT1,7156.470613543531,False,False
PTOV1,7143.445604342562,True,True
IFITM1,7112.433516894176,True,True
DLL3,7087.201067960954,False,False
LSM7,7051.403773176123,False,False
KHDRBS1,6999.677808258764,False,False
H2AFV,6980.457769159327,False,False
UBE2E3,6924.1166727193495,False,False
LRRN1,6921.644841686259,False,False
HSPA9,6917.740886598589,True,True
RGS2,6896.863387240762,False,False
MLF2,6889.625970823244,False,False
MYL9,6870.917683319297,True,True
MAP6,6825.526512585535,False,False
GNG5,6762.549422596529,False,False
CDKN2D,6759.39890077318,False,False
FSCN1,6712.810429067387,False,False
TPM2,6698.53547335509,False,False
IFI6,6681.234542453008,False,False
NRXN2,6665.780033222211,False,False
GPX4,6643.388291605549,False,False
MYH9,6630.921007495524,True,True
PMP22,6613.280783888947,True,True
NDUFB2,6605.446672997158,False,False
SOX11,6591.080565185224,True,True
GP1BB,6569.4829473628815,True,True
FBL,6566.839853374039,False,False
NDUFS6,6518.355783904737,True,True
FAM162A,6510.369956407108,False,False
XPR1,6493.049225860617,False,False
RBFOX2,6453.997602468097,False,False
CACNG4,6437.351738578915,False,False
COL5A1,6433.370646723632,False,False
GPX1,6425.75179420056,False,False
EGR1,6418.963366436233,True,True
PLTP,6405.727362681451,False,False
RUFY3,6402.6417753406795,False,False
RPL22,6400.283296178543,False,False
TEAD2,6397.552063764021,True,True
NCS1,6370.707838467208,True,True
KIRREL2,6367.119791999157,False,False
CHCHD2,6350.6844725550045,False,False
IRX2,6347.877690183177,False,False
PIP4K2B,6338.198569428362,False,False
PCDHGB6,6331.831793662491,False,False
MORF4L1,6328.7956876840835,False,False
TNFRSF12A,6309.7757987396335,False,False
HINT1,6258.658667712391,False,False
VGF,6257.770474979238,False,False
MLC1,6242.637062846381,True,True
LRRC4B,6242.480196579756,False,False
CSRP2,6241.28163927197,True,True
MAP1LC3B,6235.962924628909,False,False
PTGES3,6223.235583525751,False,False
PAX3,6208.772695893719,False,False
SCG5,6169.254573417669,False,False
TKT,6156.95704125171,False,False
XRCC5,6152.343023135185,False,False
NR2F1,6149.594017733445,False,False
RPS4Y1,6147.67697739879,False,False
NPIP,6140.675614554164,False,False
MAPK8IP1,6132.061046578587,False,False
LRRC3B,6119.54299775181,True,True
HNRNPA3,6103.937626386988,False,False
TXN,6097.468741695031,False,False
ASNS,6094.78380668433,True,True
EIF5A,6076.56670741774,False,False
SMARCE1,6066.098617431076,False,False
TCEAL2,6058.096727393527,True,True
SV2A,6057.1212878455035,False,False
NCAN,6035.384271926285,False,False
CDC20,5979.954917903055,False,False
LSS,5938.407219459943,True,True
RAC3,5913.763497979904,False,False
COL5A2,5907.496747507924,False,False
LHX5,5866.578409989939,False,False
APBB1,5863.861633756184,False,False
ITGB1,5809.0331445041,False,False
UQCRH,5803.488051210069,False,False
GNB2,5793.076146335871,False,False
SOX2,5769.14448776187,True,True
NETO2,5753.445233587746,True,True
POU3F2,5734.706748671205,False,False
CSPG5,5724.693733045585,True,True
FGFBP3,5714.776687756605,True,True
L2HGDH,5709.461881171702,False,False
PALM,5683.101764312032,True,True
CDK2AP1,5681.247031582271,True,True
S100A10,5680.1995411476055,True,True
UBA1,5650.747562742862,False,False
SEPT7,5610.238243784726,False,False
AP2B1,5608.691529976255,False,False
BAALC,5599.541894197049,True,True
KIF5A,5597.472626309202,False,False
C19orf79,5594.090847278077,True,True
CALD1,5542.74220952147,False,False
ATP5A1,5530.709649752606,False,False
SH3BP5,5494.161905978993,False,False
LOC728392,5484.168767580212,False,False
COX7B,5479.63444029664,False,False
MSN,5476.058776858382,False,False
SCRT1,5470.165801785568,False,False
CKS1B,5420.017712980314,False,False
ATP5J2,5406.72144160438,True,True
NRP2,5399.301512704261,False,False
MAT2A,5396.780026230246,False,False
PCBP4,5364.65394523634,False,False
LPPR2,5345.143484994327,False,False
NUCKS1,5334.324118262742,True,True
MATR3,5311.196739704179,True,True
RPL27A,5300.860287480554,False,False
THBS1,5283.881910893544,True,True
ARF1,5272.404157853458,True,True
NUSAP1,5252.224666785977,False,False
BGN,5243.010129041071,True,True
HOXA5,5238.155417908317,False,False
SKP1,5237.352416629235,False,False
BBS5,5223.4456943005725,False,False
RCC2,5221.381421291715,False,False
SMARCD3,5208.706978977903,False,False
NPC2,5206.394966836276,False,False
ATP6V1F,5197.976057658117,False,False
BEX2,5180.4595090056255,False,False
LAMP1,5171.918723210631,True,True
WLS,5169.828708142378,True,True
CTNNB1,5163.678555426888,False,False
HNRNPH3,5157.908226660702,False,False
SQLE,5144.438863904388,False,False
PCBP2,5143.765585399633,False,False
KLRD1,5137.442800994843,False,False
S100B,5103.723595330502,True,True
EIF3C,5099.948700401213,False,False
PHC2,5099.334553998081,False,False
MCM2,5093.883374507257,True,True
VPS28,5091.886163521892,False,False
PARP1,5091.12607903756,False,False
SREBF2,5078.525226281129,True,True
